Series▲▼;Product Image;Description▲▼;Mounting▲▼;Resistance at 25 °C(Ω)▲▼;R25Tolerance(±%)▲▼;B25/85(K)▲▼;B25/85Tolerance(±%)▲▼;Operating Temperature Range(°C)▲▼;Image path
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1500;5;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2000;2;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2000;3;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2000;5;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2200;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2200;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2200;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;2700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;3300;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;3300;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;3300;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;4700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;4700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;4700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;5000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;5000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;5000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;6800;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;6800;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;6800;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;10000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;10000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;10000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;12000;2;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;12000;3;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;12000;5;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;15000;2;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;15000;3;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;15000;5;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;22000;2;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;22000;3;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;22000;5;3740;2;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;33000;2;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;33000;3;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;33000;5;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;47000;2;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;47000;3;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;47000;5;4090;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;50000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;50000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;50000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;68000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;68000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;68000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;100000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;100000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;100000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;150000;2;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;150000;3;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;150000;5;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;220000;2;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;220000;3;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;220000;5;4370;2.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;330000;2;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;330000;3;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;330000;5;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;470000;2;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;470000;3;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;470000;5;4570;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE101E3...SB0;Enlarge;NTC Thermistors, Radial Leaded Special Accuracy;;4700;2.19;3977;0.75;-40 to +125;image/thermistors/ntc/29046.png
NTCLE101E3...SB0;Enlarge;NTC Thermistors, Radial Leaded Special Accuracy;;10000;2.19;3977;0.75;-40 to +125;image/thermistors/ntc/29046.png
NTCLE101E3...SB0;Enlarge;NTC Thermistors, Radial Leaded Special Accuracy;;47000;2.23;4090;1.5;-40 to +125;image/thermistors/ntc/29046.png
NTCLE101E3...SB0;Enlarge;NTC Thermistors, Radial Leaded Special Accuracy;;100000;2.29;4190;1.5;-40 to +125;image/thermistors/ntc/29046.png
NTCLE101E3C90172, NTCLE101E3C90173;Enlarge;NTC Thermistors, Radial Leaded with Low B25/85 Values;;5000;1;3324;1;-55 to +125;image/thermistors/ntc/29152.png
NTCLE101E3C90172, NTCLE101E3C90173;Enlarge;NTC Thermistors, Radial Leaded with Low B25/85 Values;;10000;1;3435;1;-55 to +125;image/thermistors/ntc/29152.png
NTCLE201E3...SB, NTCLE300E3...SB;Enlarge;NTC Thermistors, 2-Point Mini Chip Sensor, Flexible Leads;;3000;2.18;3977;0.75;-40 to +125;image/thermistors/ntc/29051.png
NTCLE201E3...SB, NTCLE300E3...SB;Enlarge;NTC Thermistors, 2-Point Mini Chip Sensor, Flexible Leads;;5000;2.18;3977;0.75;-40 to +125;image/thermistors/ntc/29051.png
NTCLE201E3...SB, NTCLE300E3...SB;Enlarge;NTC Thermistors, 2-Point Mini Chip Sensor, Flexible Leads;;10000;2.18;3977;0.75;-40 to +125;image/thermistors/ntc/29051.png
NTCLE201E3C90028;Enlarge;NTC Thermistors, Long Non-Insulated Leads;;10000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29057.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2000;1;3528;0.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2000;2;3528;0.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2000;3;3528;0.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2000;5;3528;0.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2700;1;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;2700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;4700;1;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;4700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;4700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;4700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;5000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;5000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;5000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;5000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;10000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;10000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;10000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;10000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;12000;1;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;12000;2;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;12000;3;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;12000;5;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;22000;1;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;22000;2;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;22000;3;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;22000;5;3740;2;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;47000;1;4090;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;47000;2;4090;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;47000;3;4090;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;47000;5;4090;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;68000;1;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;68000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;68000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;68000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;100000;1;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;100000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;100000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;100000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;470000;2;4570;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;470000;3;4570;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3;Enlarge;NTC Thermistors, Radial Leaded, Accuracy Line;radial;470000;5;4570;1.5;-40 to +125;image/thermistors/ntc/29048.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;2060;1.93;3528;0.5;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;2252;2.2;3984;0.5;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;2780;2.2;4090;0.75;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;3000;2.2;3984;0.5;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;5000;2.2;3984;0.5;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;10000;2.2;3984;0.5;-55 to +150;image/thermistors/ntc/29118.png
NTCLE203E3...SB0;Enlarge;NTC Thermistors, 2-Point Radial Leaded, Automotive Grade;radial;30000;2.2;3935;0.75;-55 to +150;image/thermistors/ntc/29118.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;2100;1;3511;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;2100;2;3511;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;2100;3;3511;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;2100;5;3511;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;1;3435;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;2;3435;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;3;3435;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;5;3435;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;1;3984;0.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;2;3984;0.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;3;3984;0.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;10000;5;3984;0.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;12000;1;3740;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;12000;2;3740;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;12000;3;3740;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;12000;5;3740;1;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;30000;1;3935;0.75;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;30000;2;3935;0.75;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;30000;3;3935;0.75;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;30000;5;3935;0.75;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;100000;1;4190;1.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;100000;2;4190;1.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;100000;3;4190;1.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE213E3;Enlarge;NTC Thermistor, Epoxy Coated Mini Sensor;radial;100000;5;4190;1.5;-55 to +150;image/thermistors/ntc/29154.png
NTCLE301E4C90059;Enlarge;NTC Thermistors, Long Insulated Leads;radial insulated leads;2765;2.93;3977;0.75;-40 to +125;image/thermistors/ntc/29047.png
NTCLE305E4...SB;Enlarge;NTC Thermistors, 2-Point Micro Chip Sensor Insulated Leads;;2060;1.92;3511;1;-40 to +125;image/thermistors/ntc/29076.png
NTCLE305E4...SB;Enlarge;NTC Thermistors, 2-Point Micro Chip Sensor Insulated Leads;;5000;2.19;3984;0.5;-40 to +125;image/thermistors/ntc/29076.png
NTCLE305E4...SB;Enlarge;NTC Thermistors, 2-Point Micro Chip Sensor Insulated Leads;;10000;2.19;3984;0.5;-40 to +125;image/thermistors/ntc/29076.png
NTCLE317E4103SBA;Enlarge;"NTC Thermistors, Long Insulated Leads 150 &#176;C With Very Low Thermal Gradient";radial insulated leads, low heat-conducting FeNi wires;10000;;3984;0.5;-55 to +150;image/thermistors/ntc/29216.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;2100;1;3511;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;2100;2;3511;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;2100;3;3511;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;2100;5;3511;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;5000;1;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;5000;2;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;5000;3;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;5000;5;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;1;3984;0.5;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;2;3984;0.5;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;3;3984;0.5;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;5;3984;0.5;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;1;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;2;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;3;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;10000;5;3435;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;30000;1;3935;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;30000;2;3935;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;30000;3;3935;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE350E4;Enlarge;"NTC Thermistors, Insulated Leads for 185 &#176;C Applications";radial;30000;5;3935;1;-55 to +185;image/thermistors/ntc/29218.png
NTCLE400;Enlarge;NTC Thermistors, Epoxy PVC Long Leads Sensors;;2200;3;3977;0.75;-40 to +85;image/thermistors/ntc/29187.png
NTCLE400;Enlarge;NTC Thermistors, Epoxy PVC Long Leads Sensors;;4700;3;3977;0.75;-40 to +85;image/thermistors/ntc/29187.png
NTCLE400;Enlarge;NTC Thermistors, Epoxy PVC Long Leads Sensors;;5000;3;3977;0.75;-40 to +85;image/thermistors/ntc/29187.png
NTCLE400;Enlarge;NTC Thermistors, Epoxy PVC Long Leads Sensors;;10000;3;3977;0.75;-40 to +85;image/thermistors/ntc/29187.png
NTCLE400;Enlarge;NTC Thermistors, Epoxy PVC Long Leads Sensors;;47000;3;4090;1.5;-40 to +85;image/thermistors/ntc/29187.png
