Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Packaging▲▼;Lead Style▲▼;Image path
S472M47Z5UP6TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;4700;Z5U;7.5 mm / 0.300 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M47Z5UP6TL7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;4700;Z5U;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR63K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;10 mm / 0.400 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR6UK0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;10 mm / 0.400 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR83K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472M69Z5UR85K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Z5U;10 mm / 0.400 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z33Y5VN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;4700;Y5V;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z33Y5VN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;4700;Y5V;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z33Y5VN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;4700;Y5V;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z43Y5VP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;4700;Y5V;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z43Y5VP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;4700;Y5V;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z43Y5VP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;4700;Y5V;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S472Z47Y5VR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;4700;Y5V;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S499C33SL0U83L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;4.9;SL0;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S499J33SL0U83L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;4.9;SL0;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S500K25S3NN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;50;S3N;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S500K25S3NN6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;50;S3N;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S500K25S3NN6TL6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;50;S3N;6.35 mm / 0.250 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S501K25Y5PN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;500;Y5P;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S501K29X5FN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;500;X5F;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S501M33Z5UR6TL6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;500;Z5U;6.35 mm / 0.250 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S502M39Z5UN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;5000;Z5U;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S502M75Z5UR63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;5000;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S502M75Z5UR83K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;5000;Z5U;10 mm / 0.400 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S502M75Z5UR83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;5000;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S503Z69Z5UL63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;500;50000;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S509C25SL0P63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;5;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S509C39SL0U83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;5;SL0;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S509D25SL0P63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;5;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S560J29SL0N63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;56;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S560J29SL0N65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;56;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S560J29SL0N6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;56;SL0;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S560J29SL0N6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;56;SL0;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S560K29SL0N63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;56;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29X5FN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;560;X5F;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29X5FN65K6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;560;X5F;6.35 mm / 0.250 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29Y5PN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;560;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29Y5PN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;560;Y5P;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29Y5PN6TJ6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;560;Y5P;6.35 mm / 0.250 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K29Y5PP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;560;Y5P;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K33X7RP65L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;560;X7R;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S561K33X7RP6UL5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;560;X7R;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S562K53Y5PN63J7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;5600;Y5P;7.5 mm / 0.300 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S562M39Z5UN65J7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;5600;Z5U;7.5 mm / 0.300 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J29SL0N63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J29SL0N65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J29SL0N6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J29SL0N6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J33SL0P63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J33SL0P6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J33SL0P6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J39SL0R63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;68;SL0;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680J53S3NU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;68;S3N;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K25S3NN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;S3N;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K29SL0N63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K29SL0N6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K29SL0N6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;68;SL0;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K33SL0P63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K33SL0P65K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K33SL0P6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K33SL0P6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;68;SL0;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K39SL0R63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;68;SL0;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680K53S3NU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;68;S3N;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S680M53S3NU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;68;S3N;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X5FN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X5F;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X7RN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X7R;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X7RN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X7R;6.35 mm / 0.250 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X7RN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X7R;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X7RN6TJ6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X7R;6.35 mm / 0.250 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29X7RN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;X7R;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN6TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;7.5 mm / 0.300 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PN6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;680;Y5P;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;Y5P;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PP6BK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;Y5P;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;Y5P;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K29Y5PP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;Y5P;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K33X7RP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;X7R;5 mm / 0.200 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K33X7RP65L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;X7R;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K33X7RP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;X7R;5 mm / 0.200 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K33X7RP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;X7R;5 mm / 0.200 inch;Ammo;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K33X7RP6UL5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;680;X7R;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681K39X7RR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;680;X7R;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681M33Z5UR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;680;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S681M53Z5UU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;680;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682K59Y5PN63J7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Y5P;7.5 mm / 0.300 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M43Z5UN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Z5U;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M43Z5UN63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Z5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M43Z5UN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Z5U;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M43Z5UN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Z5U;5 mm / 0.200 inch;Ammo;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M53Z5UP63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;6800;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M75Z5UR83K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;6800;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682M75Z5UR8TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;6800;Z5U;7.5 mm / 0.300 inch;Reel;Outside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682Z39Y5VN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Y5V;5 mm / 0.200 inch;Bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
S682Z39Y5VN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;6800;Y5V;5 mm / 0.200 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/28521.png
