Part Number▲▼,Product Image,Package▲▼,Dimensions(mm)▲▼,Carrier Frequency(kHz)▲▼,AGC▲▼,Transmission DistanceTyp.(m)▲▼,Detection Threshold /Sensitivity Typ.▲▼,Half ViewingAngle(°)▲▼,Supply CurrentTyp.(mA)▲▼,Pinning▲▼,Recommended for RemoteControl Code▲▼,Application▲▼,Mounting▲▼,Image path
TSOP2130,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2133,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2136,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2138,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2140,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2156,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC1,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2230,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2233,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2236,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2238,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2240,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Sony,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2256,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC2,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Cisco,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2330,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2333,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2336,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",MCIR,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2336,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",RCMM,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",XMP,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2340,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2356,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC3,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",r-map,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2430,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2433,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",RC-5,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",RC-6,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Panasonic,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",NEC,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Sharp,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",r-step,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Mitsubishi,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Sejin 4PPM,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2440,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2456,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",r-step,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2456,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC4,24,0.12,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Thomson RCA,Remote control,Leaded,image/ir-receiver-modules/82459.png
TSOP2530,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2533,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2536,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2538,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2540,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP2556,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC5,24,0.12,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82460.png
TSOP32130,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32133,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32136,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32138,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32140,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32156,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32230,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32233,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32236,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32238,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32240,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32256,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32330,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32333,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32336,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",MCIR,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32336,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",RCMM,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",r-map,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",XMP,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32340,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32356,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32430,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32433,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",RC-5,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",RC-6,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Panasonic,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",NEC,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Sharp,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Mitsubishi,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32440,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32456,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",Thomson RCA,Remote control,Leaded,image/ir-receiver-modules/82489.png
TSOP32530,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32533,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32536,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32538,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32540,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32556,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82490.png
TSOP32G36,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,,30,0.15,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND",RCMM,Remote control,Leaded,image/ir-receiver-modules/82903.png
TSOP32S40F,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC-S,39,0.05,± 45,0.35,"1 = OUT, 2 = VS, 3 = GND","Sony 12 bit, 15 bit, and 20 bit IR-codes",,Leaded,image/ir-receiver-modules/82669.png
TSOP33130,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33130DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33133,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33133DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33136,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33136DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33138,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33138DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33140,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33140DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33156,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33156DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33230,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33230DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33233,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33233DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33236,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33236DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33238,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33238DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33240,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33240DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33256,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33256DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33330,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33330DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33333,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33333DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33336,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",MCIR,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33336,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33336DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",MCIR,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33336DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33338,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33338,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",r-map,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33338,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",XMP,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33338DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RECS-80 Code,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33338DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",r-map,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33338DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",XMP,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33340,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33340DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33356,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82742.png
TSOP33356DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82888.png
TSOP33430,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33430DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
TSOP33433,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82663.png
TSOP33433DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC4,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,SMD,image/ir-receiver-modules/82889.png
